Lat,Lon,TripPurposes,ActivityDuration,ArrivalTime
37.593688,126.934658,ReturningHome,681.0,19
37.572607,126.921163,Commute,763.0,5
37.557368,126.923732,Entertainment,182.0,19
37.573653,126.916425,ReturningHome,866.0,22
37.548883,126.815816,Commute,589.0,7
37.571463,126.907287,ReturningHome,620.0,18
37.518666,126.910416,Commute,565.0,8
37.534728,126.900525,ReturningHome,643.0,18
37.498223,127.044293,Commute,604.0,8
37.496848,126.860617,ReturningHome,693.0,19
37.517968,126.894782,Commute,753.0,10
37.475247,126.903338,ReturningHome,906.0,23
37.50737,127.034522,Commute,554.0,9
37.548247,126.931848,ReturningHome,717.0,19
37.561453,126.809825,Entertainment,12.0,11
37.558734,126.978434,ReturningHome,642.0,13
37.560175,126.824658,Commute,644.0,6
37.532211,126.846421,ReturningHome,546.0,17
37.51185200000001,127.061233,Commute,671.0,8
37.484766,126.970942,ReturningHome,748.0,20
37.549115,126.86872,OrganizedHobby,340.0,15
37.555682,126.934768,ReturningHome,797.0,21
37.480376,126.882676,Commute,849.0,8
37.484247,126.929731,ReturningHome,907.0,23
37.547982,126.917453,OrganizedHobby,215.0,11
37.563907,126.91321299999998,ReturningHome,431.0,15
37.480376,126.882676,Commute,583.0,8
37.479385,126.840652,ReturningHome,641.0,18
37.517968,126.894782,Commute,789.0,8
37.556786,126.946393,ReturningHome,831.0,21
37.519138,126.908295,OrganizedHobby,379.0,9
37.492852,126.896662,ReturningHome,465.0,15
37.570964,127.001549,Commute,643.0,8
37.488453,126.957737,ReturningHome,716.0,19
37.52982100000001,126.96454,Commute,682.0,6
37.549035,126.863368,ReturningHome,630.0,18
37.553412,126.956643,Commute,534.0,8
37.556566,126.863966,ReturningHome,56.0,18
37.560458,126.856602,ReturningHome,668.0,19
37.52421,126.895272,Commute,792.0,8
37.541629,126.840422,ReturningHome,825.0,21
37.512368,126.865715,Commute,6.0,7
37.491154,127.055932,Work,868.0,8
37.512368,126.865715,ReturningHome,951.0,23
37.547997,126.958985,Commute,517.0,7
37.547749,126.922426,OrganizedHobby,174.0,17
37.548738,126.836309,ReturningHome,769.0,20
37.530225,127.120406,Commute,712.0,9
37.556837,126.92375,ReturningHome,839.0,21
